customer_id,customer_name,boiler_history,boiler_company,registration_date,have_insurance
CUST00001,Caroline Bryant,No,,2017-02-12,Yes
CUST00002,Dr Jake Butler,No,,2020-12-13,No
CUST00003,Roy Frost,Yes,Ideal,2026-05-21,No
CUST00004,Dr Joyce Middleton,No,,2017-04-16,Yes
CUST00005,Martin Williams-Hunter,No,,2024-05-30,No
CUST00006,Mr Samuel White,No,,2022-01-27,Yes
CUST00007,Kenneth Evans,Yes,Ideal,2019-09-07,No
CUST00008,Dennis Jones-Reed,No,,2020-09-11,Yes
CUST00009,Joyce Jackson-Jones,No,,2020-09-23,No
CUST00010,Elizabeth Atkinson,No,,2020-11-13,No
CUST00011,Patrick Robinson,Yes,Vaillant,2025-07-07,Yes
CUST00012,Julia Harris,Yes,Ideal,2017-05-13,No
CUST00013,Marilyn Clark-Collins,No,,2017-06-19,Yes
CUST00014,Ashleigh Miller,Yes,Ideal,2020-10-24,No
CUST00015,Robert John,Yes,Vaillant,2026-04-07,No
CUST00016,Tracy Harper,No,,2025-12-24,No
CUST00017,Julian Hammond-Barnes,No,,2021-05-26,Yes
CUST00018,Rachel Hammond-Thompson,No,,2019-02-15,Yes
CUST00019,Reece Hewitt-Knight,Yes,Vaillant,2021-10-06,No
CUST00020,Hazel Lee,No,,2018-02-22,No
CUST00021,Katie Turner-Williams,No,,2024-02-11,Yes
CUST00022,Dr Dawn Adams,No,,2022-03-15,No
CUST00023,Dr Douglas Mason,No,,2018-07-25,No
CUST00024,Ross Carter,Yes,Worcester Bosch,2025-01-26,No
CUST00025,Jason Kemp-Brown,Yes,Baxi,2020-08-29,Yes
CUST00026,Barry Allan-Jones,No,,2025-04-01,No
CUST00027,Mr Ashley Clements,Yes,Worcester Bosch,2018-11-30,Yes
CUST00028,Mr Francis Powell,Yes,Baxi,2024-12-02,Yes
CUST00029,Ms Chelsea Thomas,No,,2026-04-27,No
CUST00030,Mr Gerald Spencer,No,,2022-03-28,Yes
CUST00031,Simon Barton,No,,2023-05-09,No
CUST00032,Vanessa Richardson,No,,2017-10-03,Yes
CUST00033,Gemma Duncan,No,,2021-09-07,Yes
CUST00034,Maurice James,Yes,Ideal,2023-08-08,No
CUST00035,Stanley Smith,No,,2020-07-16,No
CUST00036,Miss Frances Hunt,Yes,Ideal,2024-02-08,No
CUST00037,Miss Diana Harris,No,,2026-04-27,Yes
CUST00038,Ellie Bates,Yes,Vaillant,2022-08-02,No
CUST00039,Gary Green-Harris,No,,2022-10-19,Yes
CUST00040,Mr Scott Johnston,Yes,Vaillant,2021-03-24,No
CUST00041,Mrs Andrea Brown,Yes,Worcester Bosch,2026-01-27,No
CUST00042,James Bibi,No,,2020-07-26,No
CUST00043,Karen Rogers,Yes,Ideal,2018-12-20,Yes
CUST00044,Ms Lynne Waters,Yes,Vaillant,2025-10-12,Yes
CUST00045,Amelia Owen,Yes,Ideal,2022-10-05,Yes
CUST00046,Stanley Anderson,No,,2020-03-13,No
CUST00047,Francesca Stevens,No,,2026-01-07,Yes
CUST00048,Mr William Benson,Yes,Baxi,2020-11-08,Yes
CUST00049,Samantha Cox,No,,2021-02-07,Yes
CUST00050,Jamie Harding,No,,2024-04-12,Yes
CUST00051,Ross Ford,Yes,Viessmann,2018-06-05,No
CUST00052,Ben Palmer,Yes,Ideal,2026-07-20,No
CUST00053,Chelsea Cook,No,,2024-04-09,Yes
CUST00054,Frank Rice,Yes,Glow-worm,2019-03-10,Yes
CUST00055,Roger Davies,Yes,Baxi,2026-02-22,Yes
CUST00056,Ann Moss,No,,2025-03-22,Yes
CUST00057,Mr Leon Murray,Yes,Glow-worm,2023-11-22,Yes
CUST00058,Hugh Matthews,Yes,Vaillant,2019-01-11,Yes
CUST00059,Maureen O'Donnell-Swift,Yes,Baxi,2022-11-20,No
CUST00060,Leon Williams,Yes,Worcester Bosch,2023-10-21,No
