customer_id,customer_name,boiler_history,boiler_company,registration_date,have_insurance
CUST00074568,Customer_0,Yes,Ideal,2024-11-13,Yes
CUST00207376,Customer_1,Yes,Viessmann,2025-12-20,No
CUST00119135,Customer_2,Yes,Baxi,2023-10-08,Yes
CUST00071189,Customer_3,Yes,Viessmann,2025-10-07,No
CUST00005180,Customer_4,Yes,Viessmann,2023-09-09,Yes
CUST00106464,Customer_5,Yes,Vaillant,2022-12-23,No
CUST00088514,Customer_6,Yes,Baxi,2020-11-09,Yes
CUST00133673,Customer_7,Yes,Baxi,2015-06-25,No
CUST00073718,Customer_8,Yes,Baxi,2020-06-03,Yes
CUST00264946,Customer_9,Yes,Viessmann,2015-12-27,No
CUST00187124,Customer_10,Yes,Ideal,2015-02-01,Yes
CUST00152385,Customer_11,Yes,Baxi,2016-08-06,Yes
CUST00046830,Customer_12,Yes,Glow-worm,2025-08-31,Yes
CUST00175341,Customer_13,Yes,Viessmann,2026-03-06,Yes
CUST00122313,Customer_14,Yes,Vaillant,2017-03-09,No
CUST00137270,Customer_15,Yes,Ideal,2022-03-27,Yes
CUST00159925,Customer_16,Yes,Glow-worm,2022-12-12,No
CUST00270497,Customer_17,Yes,Glow-worm,2019-01-12,No
CUST00006242,Customer_18,Yes,Vaillant,2022-04-08,Yes
CUST00047291,Customer_19,Yes,Ideal,2018-10-12,No
CUST00010331,Customer_20,Yes,Viessmann,2015-01-15,Yes
CUST00144186,Customer_21,Yes,Worcester Bosch,2018-04-08,No
CUST00131570,Customer_22,Yes,Ideal,2015-09-22,No
CUST00243840,Customer_23,Yes,Vaillant,2020-07-14,Yes
CUST00184224,Customer_24,Yes,Glow-worm,2022-11-29,No
CUST00119378,Customer_25,Yes,Viessmann,2022-02-09,No
CUST00150680,Customer_26,Yes,Ideal,2016-09-14,No
CUST00267978,Customer_27,Yes,Worcester Bosch,2022-11-19,Yes
CUST00135801,Customer_28,Yes,Worcester Bosch,2024-05-18,No
CUST00208420,Customer_29,Yes,Baxi,2017-10-02,Yes
CUST00147651,Customer_30,Yes,Baxi,2019-03-28,Yes
CUST00240324,Customer_31,Yes,Vaillant,2016-07-04,No
CUST00268781,Customer_32,Yes,Ideal,2020-01-31,No
CUST00263968,Customer_33,Yes,Ideal,2024-06-25,No
CUST00058090,Customer_34,Yes,Glow-worm,2021-04-13,Yes
CUST00272013,Customer_35,Yes,Glow-worm,2023-03-12,Yes
CUST00204303,Customer_36,Yes,Glow-worm,2025-11-23,Yes
CUST00266702,Customer_37,Yes,Baxi,2023-06-02,No
CUST00013056,Customer_38,Yes,Ideal,2020-03-03,Yes
CUST00029407,Customer_39,Yes,Ideal,2016-03-10,No
CUST00168085,Customer_40,Yes,Worcester Bosch,2025-05-23,Yes
CUST00049931,Customer_41,Yes,Baxi,2020-12-23,No
CUST00217077,Customer_42,Yes,Viessmann,2024-12-23,No
CUST00139199,Customer_43,Yes,Baxi,2016-12-26,No
CUST00224764,Customer_44,Yes,Viessmann,2018-10-15,Yes
CUST00157169,Customer_45,Yes,Worcester Bosch,2017-01-04,Yes
CUST00047750,Customer_46,Yes,Vaillant,2021-06-09,Yes
CUST00069680,Customer_47,Yes,Ideal,2024-08-15,Yes
CUST00210613,Customer_48,Yes,Worcester Bosch,2023-02-01,No
CUST00160546,Customer_49,Yes,Ideal,2016-11-16,No
CUST00263283,Customer_50,Yes,Glow-worm,2020-07-23,No
CUST00181349,Customer_51,Yes,Vaillant,2017-01-09,Yes
CUST00248342,Customer_52,Yes,Vaillant,2015-11-03,Yes
CUST00006418,Customer_53,Yes,Worcester Bosch,2015-07-08,No
CUST00007093,Customer_54,Yes,Vaillant,2021-10-03,No
CUST00013541,Customer_55,Yes,Viessmann,2019-09-28,No
CUST00019109,Customer_56,Yes,Vaillant,2024-09-26,Yes
CUST00079492,Customer_57,Yes,Ideal,2019-07-16,Yes
CUST00203356,Customer_58,Yes,Ideal,2017-07-04,Yes
CUST00202939,Customer_59,Yes,Ideal,2020-12-06,No
CUST00191543,Customer_60,Yes,Ideal,2015-03-02,No
CUST00224193,Customer_61,Yes,Viessmann,2015-08-31,No
CUST00183240,Customer_62,Yes,Baxi,2024-06-27,No
CUST00242486,Customer_63,Yes,Glow-worm,2025-06-26,No
CUST00148054,Customer_64,Yes,Worcester Bosch,2016-10-14,No
CUST00089305,Customer_65,Yes,Ideal,2016-11-17,Yes
CUST00204722,Customer_66,Yes,Vaillant,2020-04-28,Yes
CUST00146977,Customer_67,Yes,Ideal,2021-08-19,Yes
CUST00060625,Customer_68,Yes,Vaillant,2024-11-08,No
CUST00019660,Customer_69,Yes,Glow-worm,2022-05-15,Yes
CUST00190340,Customer_70,Yes,Glow-worm,2025-01-31,No
CUST00140998,Customer_71,Yes,Glow-worm,2024-09-04,Yes
CUST00135990,Customer_72,Yes,Vaillant,2019-10-29,No
CUST00080036,Customer_73,Yes,Ideal,2026-05-26,Yes
CUST00143850,Customer_74,Yes,Glow-worm,2017-07-14,No
CUST00237931,Customer_75,Yes,Viessmann,2024-11-07,Yes
CUST00263617,Customer_76,Yes,Vaillant,2018-06-28,Yes
CUST00121179,Customer_77,Yes,Vaillant,2019-08-24,Yes
CUST00237109,Customer_78,Yes,Ideal,2017-12-11,No
CUST00143089,Customer_79,Yes,Vaillant,2021-04-18,No
CUST00028920,Customer_80,Yes,Vaillant,2018-12-28,No
CUST00189815,Customer_81,Yes,Glow-worm,2024-03-13,No
CUST00000728,Customer_82,Yes,Ideal,2019-09-29,No
CUST00072421,Customer_83,Yes,Glow-worm,2020-12-26,No
CUST00248391,Customer_84,Yes,Glow-worm,2025-10-26,No
CUST00253569,Customer_85,Yes,Ideal,2019-04-18,Yes
CUST00098599,Customer_86,Yes,Worcester Bosch,2016-06-15,No
CUST00136973,Customer_87,Yes,Glow-worm,2017-09-17,No
CUST00101496,Customer_88,Yes,Viessmann,2017-09-19,No
CUST00031302,Customer_89,Yes,Viessmann,2015-06-05,Yes
CUST00182031,Customer_90,Yes,Vaillant,2019-09-30,Yes
CUST00164556,Customer_91,Yes,Viessmann,2015-11-24,Yes
CUST00223205,Customer_92,Yes,Vaillant,2021-12-24,Yes
CUST00078441,Customer_93,Yes,Worcester Bosch,2018-10-30,Yes
CUST00266084,Customer_94,Yes,Ideal,2022-08-08,No
CUST00011634,Customer_95,Yes,Ideal,2017-06-05,Yes
CUST00072006,Customer_96,Yes,Ideal,2024-04-09,No
CUST00081755,Customer_97,Yes,Viessmann,2017-10-29,No
CUST00208227,Customer_98,Yes,Worcester Bosch,2026-02-26,No
CUST00081752,Customer_99,Yes,Viessmann,2016-11-04,No
CUST00245086,Customer_100,Yes,Viessmann,2017-09-17,Yes
CUST00024129,Customer_101,Yes,Worcester Bosch,2017-08-08,Yes
CUST00146557,Customer_102,Yes,Worcester Bosch,2015-04-06,Yes
CUST00122703,Customer_103,Yes,Worcester Bosch,2020-07-17,No
CUST00074659,Customer_104,Yes,Worcester Bosch,2020-03-11,Yes
CUST00048081,Customer_105,Yes,Ideal,2024-04-30,Yes
CUST00132279,Customer_106,Yes,Baxi,2018-04-30,No
CUST00004276,Customer_107,Yes,Baxi,2018-09-05,No
CUST00083150,Customer_108,Yes,Worcester Bosch,2025-03-27,Yes
CUST00228184,Customer_109,Yes,Baxi,2023-04-07,No
CUST00127950,Customer_110,Yes,Baxi,2015-04-07,Yes
CUST00042351,Customer_111,Yes,Worcester Bosch,2021-11-12,Yes
CUST00050004,Customer_112,Yes,Baxi,2016-09-04,No
CUST00239741,Customer_113,Yes,Viessmann,2022-04-21,No
CUST00249289,Customer_114,Yes,Vaillant,2015-11-04,No
CUST00052191,Customer_115,Yes,Vaillant,2020-02-21,Yes
